,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak
155,70,70,70,70,65,70,70,70,1729,1729,27,840124,8483,10252,1,1,1,0,1,2
104,52,56,58,41,54,29,28,39,1729,1729,7,658676,9879,9825,0,1,2,1,0,1
79,54,55,56,59,48,48,50,58,1729,1729,33,659145,8191,8456,1,6,2,2,1,2
503,53,54,69,48,52,48,43,33,1729,1729,12,1724095,9826,8650,3,1,0,4,1,1
17,48,45,38,62,54,38,38,62,1729,1729,15,658814,9879,8472,1,0,1,0,0,0
496,70,70,70,70,65,65,60,60,1729,1729,10,1724075,9826,8472,1,3,1,2,1,0
471,46,54,46,60,55,40,50,56,1729,1729,37,1475103,10260,8472,0,1,1,1,2,1
568,60,65,60,70,45,40,70,40,1729,1729,33,1724306,8668,8191,1,0,1,0,3,1
388,38,44,49,44,40,54,53,56,1729,1729,11,1474368,10260,9825,1,0,3,3,0,1
253,63,54,60,48,38,35,44,54,1729,1729,35,1026004,10252,8472,0,0,1,0,1,2
592,60,60,48,73,53,50,48,62,1729,1729,6,1724036,8650,8668,1,1,2,1,0,0
498,60,60,48,73,53,50,48,62,1729,1729,11,1724083,8650,8455,1,2,3,2,0,0
93,38,44,49,44,40,54,53,56,1729,1729,4,658603,10260,9825,2,1,4,2,0,2
213,67,38,41,61,68,39,41,46,1729,1729,15,1024930,8455,8456,2,1,3,1,0,1
146,67,72,70,48,58,39,38,54,1729,1729,24,840094,8483,8472,1,2,1,2,1,2
207,60,61,56,44,58,41,38,53,1729,1729,12,1024809,8472,9879,0,0,1,1,3,2
82,60,70,70,70,55,35,70,35,1729,1729,35,659161,8472,8191,2,1,0,0,3,0
489,67,36,41,34,44,39,41,46,1729,1729,9,1474291,8455,8456,2,1,4,2,0,1
449,46,54,49,72,56,42,41,56,1729,1729,30,1475020,10260,8650,0,3,1,3,2,0
551,39,44,42,34,54,59,52,61,1729,1729,28,1724257,8650,8191,2,0,2,0,2,2
340,43,40,39,33,63,52,58,59,1729,1729,30,1229420,8668,8456,2,0,2,2,2,1
210,65,50,45,55,50,35,45,65,1729,1729,14,1024882,10252,10260,0,1,3,1,2,2
455,52,56,58,41,54,29,28,39,1729,1729,32,1475041,9879,8668,1,3,0,1,0,2
520,61,67,67,69,50,36,34,41,1729,1729,18,1724155,9826,8466,1,3,1,0,0,2
414,38,44,49,44,40,54,53,56,1729,1729,2,1474133,10260,8455,0,0,2,4,0,1
40,65,40,65,65,70,45,45,65,1729,1729,22,658950,10260,8191,3,0,1,0,0,1
474,43,40,39,33,63,52,58,59,1729,1729,4,1474175,8668,8455,1,0,3,3,0,0
334,59,30,28,44,46,51,44,52,1729,1729,29,1229407,9825,8668,0,0,1,1,3,2
497,70,60,70,65,75,65,65,50,1729,1729,10,1724079,8456,10260,1,0,5,1,0,1
293,59,29,38,36,24,48,47,54,1729,1729,16,1229267,8456,10260,2,3,4,3,1,1
167,60,50,55,70,55,55,65,60,1729,1729,31,840157,8668,10252,2,2,4,0,0,2
447,60,60,48,73,53,50,48,62,1729,1729,3,1474162,8650,10260,1,0,4,3,1,1
433,60,50,55,70,55,55,65,60,1729,1729,26,1474975,8668,9826,2,3,3,1,1,0
65,70,59,65,70,50,30,70,30,1729,1729,29,659104,10252,8472,1,1,1,0,2,1
508,52,47,69,66,47,36,33,53,1729,1729,14,1724117,9826,10252,0,1,1,0,1,1
35,56,56,48,57,56,50,50,60,1729,1729,20,658930,8668,8191,2,0,0,0,1,1
177,38,44,49,44,40,54,53,56,1729,1729,36,840205,10260,8455,2,1,5,2,0,1
96,60,45,55,45,45,60,62,46,1729,1729,4,658612,8455,8191,3,0,4,0,0,0
393,67,38,41,61,68,39,41,46,1729,1729,13,1474418,8455,8466,3,1,4,1,0,1
491,52,37,48,49,47,43,43,48,1729,1729,9,1474307,8466,9879,2,0,2,2,2,1
507,59,30,28,44,46,51,44,52,1729,1729,14,1724112,9825,8466,1,0,3,1,1,3
302,45,55,40,38,48,50,60,54,1729,1729,18,1229286,8456,9798,1,0,3,0,1,0
148,66,30,30,45,35,30,40,50,1729,1729,25,840096,9825,8668,2,1,4,1,1,4
382,59,30,28,44,46,51,44,52,1729,1729,1,1474058,9825,10252,1,3,2,1,2,0
501,59,30,28,44,46,51,44,52,1729,1729,12,1724092,9825,10260,1,2,3,1,2,1
314,67,58,44,60,56,43,50,52,1729,1729,22,1229330,10252,8466,0,1,1,0,2,2
68,71,32,34,41,61,51,48,62,1729,1729,3,658594,8650,10252,1,3,2,3,1,1
122,66,72,63,48,56,39,42,52,1729,1729,15,839957,10252,9825,2,4,3,2,2,1
127,46,38,46,68,37,49,49,56,1729,1729,17,839974,10260,9825,1,0,3,3,1,1
555,36,52,49,68,55,24,56,66,1729,1729,3,1724003,8191,10260,0,0,2,2,1,2
