,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,home_team_goal,away_team_goal
381,2014-09-19 00:00:00,44,Balanced,Little,72,Long,Organised,71,Risky,39,Normal,37,Normal,Organised,58,Medium,52,Press,52,Normal,Cover,3,3
366,2015-09-10 00:00:00,67,Fast,Normal,36,Mixed,Organised,41,Normal,34,Normal,44,Normal,Organised,39,Medium,41,Press,46,Normal,Cover,2,1
164,2014-09-19 00:00:00,60,Balanced,Little,61,Mixed,Organised,56,Normal,44,Normal,58,Normal,Organised,41,Medium,38,Press,53,Normal,Cover,0,2
379,2012-02-22 00:00:00,60,Balanced,Little,45,Mixed,Organised,55,Normal,45,Normal,45,Normal,Organised,60,Medium,62,Press,46,Normal,Cover,2,3
374,2013-09-20 00:00:00,52,Balanced,Little,49,Mixed,Organised,49,Normal,56,Normal,59,Normal,Organised,39,Medium,39,Press,57,Normal,Cover,1,2
509,2015-09-10 00:00:00,43,Balanced,Normal,51,Mixed,Organised,59,Normal,50,Normal,55,Normal,Organised,47,Medium,45,Press,49,Normal,Cover,1,4
482,2014-09-19 00:00:00,60,Balanced,Little,61,Mixed,Organised,56,Normal,44,Normal,58,Normal,Organised,41,Medium,38,Press,53,Normal,Cover,1,3
14,2015-09-10 00:00:00,59,Balanced,Normal,30,Short,Organised,28,Safe,44,Normal,46,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover,0,3
427,2011-02-22 00:00:00,60,Balanced,Little,50,Mixed,Organised,55,Normal,70,Lots,55,Normal,Organised,55,Medium,65,Press,60,Normal,Cover,2,1
345,2011-02-22 00:00:00,52,Balanced,Little,37,Mixed,Organised,48,Normal,49,Normal,47,Normal,Organised,43,Medium,43,Press,48,Normal,Cover,2,1
