,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak
510,60,Balanced,Little,60,Mixed,Organised,48,Normal,73,Lots,53,Normal,Organised,50,Medium,48,Press,62,Normal,Cover,1729,1729,15,1724124,8650,8472,0,0,37868.0,34036.0,22764.0,30831.0,314605.0,95327.0,156008.0,37234.0,184536.0,246575.0,39225.0,103428.0,188540.0,30362.0,24150.0,32579.0,35443.0,113908.0,118929.0,24159.0,70297.0,169721.0,liverpool,sunderland,D,15.0,7.0,2.0,1.0,1.5,4.5,7.5,2,3,0,0
350,70,Fast,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover,1729,1729,33,1229452,10252,9879,1,1,69650.0,183715.0,30602.0,139673.0,156007.0,182223.0,78324.0,184360.0,149895.0,29581.0,148315.0,30633.0,31290.0,26777.0,30890.0,30352.0,30603.0,25997.0,118730.0,34574.0,38229.0,27430.0,astonvilla,fulham,D,15.0,8.0,7.0,3.0,2.3,3.3,3.5,1,0,0,2
268,50,Balanced,Little,35,Mixed,Organised,50,Normal,60,Normal,70,Lots,Organised,40,Medium,60,Press,40,Normal,Cover,1729,1729,8,1024573,8650,10260,1,1,30660.0,154271.0,30617.0,22764.0,37475.0,39109.0,95327.0,37139.0,30618.0,30892.0,40636.0,182917.0,165823.0,30620.0,43248.0,32569.0,30802.0,24148.0,186137.0,23354.0,24154.0,113836.0,liverpool,manchesterunited,D,14.0,10.0,8.0,3.0,3.0,3.3,2.4,2,3,1,1
153,46,Balanced,Little,54,Mixed,Organised,46,Normal,60,Normal,55,Normal,Organised,40,Medium,50,Press,56,Normal,Cover,1729,1729,27,840115,10260,8456,2,1,30726.0,24150.0,165823.0,30865.0,32569.0,40945.0,24148.0,40961.0,30373.0,24154.0,30829.0,31432.0,24208.0,33086.0,39027.0,30509.0,38807.0,23782.0,37459.0,36615.0,16351.0,38817.0,manchesterunited,manchestercity,H,11.0,13.0,6.0,8.0,1.73,3.6,5.0,4,1,1,2
90,60,Balanced,Little,60,Mixed,Organised,48,Normal,73,Lots,53,Normal,Organised,50,Medium,48,Press,62,Normal,Cover,1729,1729,37,659368,8650,8455,0,2,30660.0,38818.0,39032.0,30617.0,25984.0,30618.0,95327.0,33632.0,27694.0,24800.0,37139.0,30859.0,31306.0,26564.0,30627.0,38834.0,30631.0,30699.0,30679.0,31906.0,30822.0,37804.0,liverpool,chelsea,A,7.0,15.0,2.0,11.0,4.0,3.8,1.83,3,4,1,0
75,38,Balanced,Normal,44,Mixed,Organised,49,Normal,44,Normal,40,Normal,Organised,54,Medium,53,Press,56,Normal,Cover,1729,1729,31,659127,10260,8650,2,1,30726.0,30615.0,30620.0,30865.0,32569.0,24148.0,34944.0,35327.0,30802.0,40945.0,30829.0,30660.0,34036.0,30617.0,25984.0,47547.0,37139.0,95327.0,38818.0,33632.0,30618.0,30853.0,manchesterunited,liverpool,H,10.0,4.0,5.0,2.0,1.67,3.75,5.5,4,2,0,1
159,60,Balanced,Little,50,Mixed,Organised,40,Normal,45,Normal,60,Normal,Organised,55,Medium,55,Press,50,Normal,Cover,1729,1729,29,840136,8650,10260,3,1,30660.0,34036.0,30617.0,22764.0,34222.0,25923.0,95327.0,30618.0,33632.0,37139.0,40636.0,30726.0,38994.0,30362.0,165823.0,32569.0,40945.0,34944.0,30373.0,24154.0,30829.0,27430.0,liverpool,manchesterunited,H,17.0,12.0,10.0,7.0,2.8,3.2,2.6,3,1,2,3
110,71,Fast,Normal,32,Short,Organised,34,Normal,41,Normal,61,Normal,Organised,51,Medium,48,Press,62,Normal,Cover,1729,1729,1,839801,8650,9825,1,1,30660.0,34036.0,22764.0,30617.0,25984.0,30618.0,38818.0,37262.0,37139.0,30630.0,41175.0,23686.0,26111.0,26005.0,46539.0,31291.0,30935.0,26181.0,27277.0,143793.0,3520.0,25537.0,liverpool,arsenal,D,7.0,14.0,4.0,7.0,2.5,3.25,2.88,3,1,1,1
173,75,Fast,Little,40,Mixed,Free Form,40,Normal,45,Normal,65,Normal,Free Form,50,Medium,40,Press,45,Normal,Cover,1729,1729,33,840175,9825,8650,1,1,169718.0,30935.0,46539.0,30986.0,31291.0,27277.0,143793.0,31013.0,30613.0,26181.0,30843.0,30660.0,239856.0,30617.0,22764.0,34222.0,37139.0,95331.0,95327.0,25923.0,40636.0,47382.0,arsenal,liverpool,D,12.0,9.0,6.0,5.0,1.73,3.6,5.0,3,2,2,0
136,70,Fast,Little,60,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,45,Medium,55,Press,45,Normal,Cover,1729,1729,2,839828,8456,8650,3,0,31432.0,24208.0,30831.0,39027.0,33086.0,24159.0,30598.0,36615.0,23782.0,38807.0,38817.0,30660.0,34036.0,30617.0,22764.0,25984.0,37139.0,30618.0,95327.0,37262.0,41175.0,30853.0,manchestercity,liverpool,H,8.0,13.0,3.0,7.0,2.38,3.25,3.1,2,1,1,0
