,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,FTR,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak
250,0,0,1,1,0,1,2,1,2,2,1,0,0,60,60,48,73,53,50,48,62,1729,1729,34,1025964,8650,9879,0,1,39351.0,154271.0,165526.0,22764.0,34222.0,156008.0,127130.0,95331.0,33632.0,47382.0,37139.0,30633.0,33045.0,26777.0,23780.0,24130.0,34574.0,30338.0,41008.0,282274.0,30956.0,41244.0,18.0,7.0,5.0,4.0,1.62,4.0,5.5,1,0,3,2
172,1,0,0,1,1,1,2,1,1,1,2,0,0,70,70,70,70,65,70,70,70,1729,1729,32,840173,8483,9825,1,3,72810.0,24469.0,40548.0,35554.0,23065.0,39109.0,23736.0,23464.0,35345.0,22959.0,21853.0,30648.0,30935.0,33812.0,46539.0,31291.0,27277.0,143793.0,26181.0,30613.0,3520.0,30843.0,12.0,16.0,6.0,7.0,8.5,5.0,1.36,1,3,2,1
182,0,0,0,1,0,2,2,1,2,2,1,0,2,66,72,63,48,56,39,42,52,1729,1729,38,840228,10252,8650,1,0,30380.0,159833.0,24751.0,24211.0,30357.0,38609.0,24780.0,78324.0,23354.0,23949.0,30892.0,30660.0,239856.0,30617.0,22764.0,34222.0,25923.0,95331.0,95327.0,30630.0,37139.0,40636.0,10.0,9.0,8.0,4.0,3.2,3.4,2.25,2,3,1,1
134,1,1,0,1,1,2,2,1,2,2,1,0,2,67,72,70,48,58,39,38,54,1729,1729,19,840003,8483,8650,2,1,72810.0,29571.0,40548.0,35554.0,23065.0,40563.0,39109.0,46344.0,23464.0,21853.0,22959.0,30660.0,34036.0,22764.0,25984.0,154271.0,25923.0,32937.0,95327.0,37262.0,37139.0,30853.0,13.0,10.0,9.0,6.0,3.8,3.75,1.91,0,1,1,1
167,0,0,1,1,0,1,2,1,2,2,1,0,1,60,50,55,70,55,55,65,60,1729,1729,31,840157,8668,10252,2,2,31465.0,24023.0,23268.0,24216.0,24846.0,77690.0,30371.0,30839.0,24006.0,10491.0,31989.0,30380.0,159833.0,24211.0,24751.0,30357.0,30892.0,25572.0,24780.0,23354.0,23264.0,23949.0,14.0,7.0,7.0,5.0,1.83,3.6,4.33,4,0,0,2
230,1,0,1,1,0,1,1,1,2,2,1,0,2,70,60,55,70,70,45,55,45,1729,1729,24,1025479,8456,9879,3,0,31432.0,24208.0,178955.0,33086.0,16351.0,26181.0,23782.0,24159.0,37412.0,37459.0,15403.0,30633.0,33045.0,30890.0,26777.0,43247.0,34574.0,30338.0,25253.0,24020.0,41008.0,30956.0,16.0,11.0,10.0,8.0,1.3,5.5,10.0,4,1,0,3
228,0,1,1,1,0,2,2,1,2,2,1,0,2,61,42,39,59,48,52,58,60,1729,1729,23,1025448,8668,8456,1,0,31465.0,30371.0,24023.0,30839.0,24846.0,30700.0,24156.0,39618.0,42714.0,30876.0,160196.0,31432.0,24208.0,39027.0,33086.0,31291.0,23782.0,38807.0,37459.0,37412.0,26181.0,15403.0,9.0,17.0,4.0,11.0,4.33,3.5,1.85,3,1,1,1
428,0,0,1,1,0,2,2,1,2,2,1,0,0,48,45,38,62,54,38,38,62,1729,1729,24,1474949,9879,8466,0,3,30841.0,31290.0,26777.0,188058.0,30352.0,24223.0,26782.0,23283.0,128827.0,34574.0,23949.0,30974.0,425255.0,26552.0,72665.0,362694.0,46893.0,166676.0,37234.0,23792.0,109491.0,39225.0,8.0,17.0,4.0,5.0,3.6,3.4,2.2,1,0,0,1
533,0,0,0,1,0,2,2,1,2,2,1,0,0,66,72,63,48,56,39,42,52,1729,1729,22,1724192,10252,8650,0,2,69650.0,32870.0,257847.0,139673.0,93484.0,182223.0,56972.0,160713.0,78324.0,23264.0,148315.0,37868.0,307021.0,22764.0,94043.0,280260.0,156008.0,95327.0,314605.0,246575.0,184822.0,184536.0,15.0,12.0,4.0,5.0,4.5,3.6,1.91,0,2,4,0
557,0,0,1,1,0,2,1,1,2,2,1,0,0,50,35,50,60,70,40,60,40,1729,1729,30,1724274,8650,10260,1,2,37868.0,307021.0,22764.0,94043.0,246575.0,156008.0,47558.0,314605.0,37234.0,51553.0,184536.0,182917.0,35327.0,165823.0,186137.0,161012.0,34944.0,164676.0,41468.0,39618.0,23354.0,30829.0,7.0,6.0,1.0,4.0,2.05,3.4,3.6,2,2,2,3
